data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
02/11/2022,Manhã,3315,7398,3932,7397,7856,5716,6724,1590,6784,9917
01/11/2022,Noite,4454,5181,3760,2647,4345,0324,2265,7730,5213,9452
01/11/2022,Tarde,2688,8343,0806,6228,7212,2170,7330,9383,5719,1784
01/11/2022,Manhã,7492,7457,8179,8077,6215,8842,2737,3640,7878,4719
31/10/2022,Noite,6747,3083,7516,6816,2958,3150,5638,3801,4563,9311
31/10/2022,Tarde,7154,1000,1339,6466,8244,6073,8419,1180,5209,2883
31/10/2022,Manhã,2026,8052,0942,6049,5607,8612,7744,2351,2832,3095
29/10/2022,Noite,5919,3359,1902,6490,0211,9203,3687,8958,5577,2254
29/10/2022,Tarde,2202,4014,4913,8965,0714,8599,8676,2144,1383,7620
29/10/2022,Manhã,6183,6596,1319,0575,5935,9516,4909,5831,5238,9345
28/10/2022,Noite,0619,3446,5284,5746,9465,7521,4678,5309,6895,0233
28/10/2022,Tarde,0407,1896,0436,3509,7928,2897,8112,2777,0698,6631
28/10/2022,Manhã,6817,0058,9168,3886,1246,7107,4948,4016,1643,6922
27/10/2022,Noite,7666,2183,6380,5432,9750,6457,2133,1236,4419,4482
27/10/2022,Tarde,7626,6677,6169,7102,7889,2588,6779,7546,7130,7618
27/10/2022,Manhã,0325,9787,0152,2650,8211,3999,9476,1889,8075,2427
26/10/2022,Noite,0100,7398,3868,3654,7331,8491,8725,6867,7560,0965
26/10/2022,Noite,0100,7398,3868,3654,7331,8491,8725,6867,7560,0965
26/10/2022,Tarde,4605,1409,5083,7677,2137,6739,9346,0609,4491,4886
26/10/2022,Manhã,1260,2203,9125,5089,6668,7826,2851,5837,2324,3258
25/10/2022,Noite,3108,4955,3646,2711,4450,9354,9867,1178,9104,2414
25/10/2022,Tarde,3591,6684,5892,1775,9024,0481,7803,0875,3879,8899
25/10/2022,Manhã,2156,3290,6124,5965,7811,0536,0637,5852,5110,3460
24/10/2022,Noite,2070,3461,2059,4297,2327,4245,3599,8571,5122,9461
24/10/2022,Tarde,9541,6539,5922,5819,0394,2682,7471,3261,8747,7447
24/10/2022,Manhã,0186,5409,2141,2079,1002,3900,8139,8921,6202,3547
22/10/2022,Noite,3272,0891,6087,3661,1629,6666,8638,7051,3427,8962
22/10/2022,Tarde,5239,8036,1836,2551,3666,2332,1703,4741,9522,9625
